datetime,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL,RSI_AAPL,MA100_AAPL,MA200_AAPL,BBL_AAPL,BBM_AAPL,BBU_AAPL,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,volume_GOOGL,RSI_GOOGL,OBV_GOOGL,MACD_GOOGL,MACD_signal_GOOGL,MACD_hist_GOOGL,TARGET_close_AAPL
2018-04-25,40.655,41.355,40.6025,40.9125,113528400.0,37.83441698948677,42.970175010000005,41.45602502,40.38120051153231,42.61225005,44.84329958846769,51.4875,51.8035,50.8505,51.1495,57860000.0,41.812645803927026,8883971596.0,-0.30050431543809,-0.39343051605182733,0.09292620061373735,40.9125
2018-04-26,41.029999,41.4325,40.8425,41.055,111852000.0,39.01112817607454,42.95110001,41.47938752,40.28998973956177,42.58400005,44.87801036043823,51.661,52.601,51.022499,52.1655,50926000.0,47.09173292744237,8934897596.0,-0.30384260250514217,-0.3755129333424903,0.07167033083734814,41.055
2018-04-27,41.0,41.0825,40.1575,40.58,142623200.0,36.52901670434543,42.92927500999999,41.50011252,40.07333524458775,42.51575005,44.95816485541225,52.277,52.585,51.3795,51.5725,40746000.0,44.551142076019,8894151596.0,-0.35030031912456394,-0.37047041049890506,0.020170091374341115,40.58
2018-04-30,40.5325,41.815,40.46,41.315,169709600.0,42.613464778682896,42.91792501,41.52197502,40.02627366166391,42.498000049999995,44.96972643833608,51.721,51.9185,50.915,50.929,34492000.0,41.908887085479314,8859659596.0,-0.4340401219560235,-0.38318435279032875,-0.05085576916569473,41.315
2018-05-01,41.6025,42.3,41.3175,42.275,214277600.0,49.4319893345411,42.916575009999995,41.54705002,40.03969406297312,42.506875050000005,44.97405603702689,50.815,52.086498,50.5305,52.037498,35326000.0,47.66678961139986,8894985596.0,-0.40627471252818737,-0.3878024247379005,-0.018472287790286868,42.275
2018-05-02,43.8075,44.4375,43.45,44.1425,266157600.0,59.51050964776976,42.93547501,41.58081252,40.00462935234407,42.568875049999995,45.13312074765592,51.7,52.199,51.158,51.3025,34698000.0,44.51608626724001,8860287596.0,-0.4385235944576209,-0.3979466586818446,-0.04057693577577631,44.1425
2018-05-03,43.97,44.375,43.61,44.2225,136272800.0,59.87940428290637,42.95440001,41.614325019999995,39.96818325957181,42.62000005,45.271816840428194,51.2685,51.5345,50.3945,51.315,39282000.0,44.58317379678963,8899569596.0,-0.45779524161649476,-0.40991637526877467,-0.047878866347720095,44.2225
2018-05-04,44.5625,46.0625,44.5425,45.9575,224805200.0,66.91880106738007,42.99055001,41.65533752,39.80387265307118,42.813125,45.82237734692882,50.9805,52.594,50.9025,52.55,36892000.0,50.89998587159569,8936461596.0,-0.3691585521641443,-0.40176481064784864,0.03260625848370435,45.9575
2018-05-07,46.295,46.9175,46.1875,46.29,169805600.0,68.07485425374355,43.02177501,41.698862520000006,39.63858484572651,43.001999999999995,46.36541515427348,52.6945,53.25,52.5135,52.973,34400000.0,52.88110021221595,8970861596.0,-0.26176332763977683,-0.3737645140462343,0.11200118640645745,46.29
2018-05-08,46.2475,46.555,45.9175,46.5125,113611200.0,68.85909755398242,43.057650009999996,41.74358752,39.46665136962743,43.162,46.85734863037257,53.231,53.2615,52.582,52.9295,26030000.0,52.645852364313164,8944831596.0,-0.17810879756923725,-0.3346333707508349,0.15652457318159763,46.5125
2018-05-09,46.6375,46.85,46.305,46.84,92844800.0,70.02624326717454,43.095375000000004,41.787675025,39.32091157763155,43.348499999999994,47.37608842236844,53.205,54.7,53.1055,54.4475,47160000.0,59.42868979084169,8991991596.0,0.010556247899927484,-0.26559544702068244,0.2761516949206099,46.84
2018-05-10,46.935,47.5925,46.9125,47.51,111957200.0,72.3125039538859,43.139925000000005,41.834300025000005,39.129091758153486,43.54725,47.96540824184651,54.75,55.4705,54.694,55.2735,36414000.0,62.57036933927741,9028405596.0,0.2241421809837476,-0.16764792141979643,0.39179010240354406,47.51
2018-05-11,47.3725,47.515,46.8625,47.1475,104848800.0,69.23547801807462,43.176475,41.878212525,39.0312824213419,43.7205,48.4097175786581,55.0205,55.4505,54.861,55.169,30504000.0,61.91712662854019,8997901596.0,0.380591078061002,-0.05800012152363674,0.43859119958463877,47.1475
2018-05-14,47.2525,47.3825,46.965,47.037498,83115200.0,68.28590992876168,43.20579998,41.925200015,38.96715705423709,43.8746249,48.78209274576291,55.2785,55.9075,55.24,55.33,39338000.0,62.56556896127633,9037239596.0,0.5116710848530275,0.05593411975169611,0.4557369651013314,47.037498
2018-05-15,46.695,46.7675,46.275,46.61,94780800.0,64.5790412650566,43.235549979999995,41.97137501499999,38.93294773824241,43.9771249,49.02130206175759,54.845,54.956,53.939,54.2435,35738000.0,55.67591299157853,9001501596.0,0.521865721686062,0.14912044013856932,0.37274528154749276,46.61
2018-05-16,46.5175,47.115,46.5,47.044998,76732400.0,66.56778621442855,43.270124960000004,42.020687505000005,38.88980154817103,44.1063748,49.322948051828966,54.2545,54.719,54.081501,54.2045,25628000.0,55.43991719339143,8975873596.0,0.5207946739434348,0.22345528689954244,0.2973393870438924,47.044998
2018-05-17,47.0,47.2275,46.59,46.7475,69176000.0,63.92436322972401,43.30007496,42.066862504999996,38.96232195232628,44.2837498,49.60517764767373,54.073002,54.55,53.821,54.063,25738000.0,54.536679339534075,8950135596.0,0.5027328026471523,0.2793107900490644,0.22342201259808786,46.7475
2018-05-18,46.7975,46.9525,46.5325,46.5775,73190800.0,62.399492049634915,43.32832496,42.103325004999995,39.29935914448875,44.5411248,49.78289045551125,53.3,53.6865,53.234,53.482,35482000.0,50.87178931837874,8914653596.0,0.4365050367865635,0.31074963939656425,0.12575539738999925,46.5775
2018-05-21,47.0,47.3175,46.7275,46.9075,73603200.0,64.18546847661254,43.370974960000005,42.143400005000004,39.70292399481724,44.8209998,49.939075605182765,53.95,54.665,53.9,54.2005,25180000.0,54.9074306477635,8939833596.0,0.4369590089836919,0.3359915133139898,0.10096749566970209,46.9075
2018-05-22,47.095001,47.22,46.695,46.79,60962800.0,63.037345165023666,43.412374959999994,42.181862505,40.30043318360448,45.1237498,49.947066416395515,54.49,54.59,53.613,53.7655,22226000.0,52.11616462333977,8917607596.0,0.39763424065969133,0.3483200587831301,0.049314181876561225,46.79
2018-05-23,46.5875,47.125,46.44,47.09,80233600.0,64.77007787624491,43.45557496000001,42.218800005000006,40.94831090446404,45.4326248,49.91693869553596,53.5,54.4,53.348,54.298,23740000.0,55.12364447268711,8941347596.0,0.40477142512767017,0.35961033205203813,0.04516109307563204,47.09
2018-05-24,47.1925,47.21,46.5525,47.037498,92936000.0,64.20284425835712,43.50287494,42.253887495,41.67791545200744,45.7317497,49.78558394799256,54.345,54.356,53.615,54.2725,20604000.0,54.94567212103252,8920743596.0,0.4037162685128095,0.36843151934419244,0.03528474916861707,47.037498
2018-05-25,47.057499,47.4125,46.9125,47.145,69844000.0,64.88103924996679,43.54367495,42.288287495000006,42.72924450815578,46.059999700000006,49.39075489184423,54.3275,54.4785,54.13,54.204,22224000.0,54.437225143436095,8898519596.0,0.3928244361961788,0.37331010271458975,0.01951433348158904,47.145
2018-05-29,46.9,47.1875,46.7175,46.975,90056400.0,62.85312316336475,43.58284996,42.32901249500001,43.80567535589317,46.34299969999999,48.880324044106814,53.8,54.067001,53.154,53.4035,36076000.0,48.75888512072944,8862443596.0,0.31595676772934667,0.3618394357175412,-0.045882667988194514,46.975
2018-05-30,46.93,47.0,46.695,46.875,74762000.0,61.63278625599832,43.61902496,42.366537495,44.84867508462242,46.5729997,48.29732431537757,53.674,53.9495,53.3275,53.8735,28686000.0,51.92937512207713,8891129596.0,0.28962504152052304,0.3473965568781376,-0.057771515357614545,46.875
2018-05-31,46.805,47.057499,46.535,46.7175,109931200.0,59.66780598663916,43.64869996,42.400312495,45.38656931762009,46.70174970000001,48.01693008237992,54.099998,55.5,53.9,55.0,79368000.0,58.549361079735775,8970497596.0,0.35555744928830535,0.34902873536017115,0.0065287139281342,46.7175
2018-06-01,46.9975,47.565,46.9375,47.56,93770000.0,65.92593332893208,43.68842496,42.436112495,46.13630422630224,46.8686247,47.60094517369776,55.6435,56.908,55.6005,56.75,63202000.0,66.3110511501834,9033699596.0,0.5427630969777297,0.38777560768368285,0.15498748929404688,47.56
2018-06-04,47.91,48.355,47.8375,47.9575,105064800.0,68.41600324624484,43.73217496,42.47471249499999,46.21536942043213,46.9686247,47.721879979567866,56.925,57.893,56.85,57.652,44754000.0,69.48295965894984,9078453596.0,0.7552032699882147,0.46126114014458924,0.2939421298436255,47.9575
2018-06-05,48.2675,48.485,48.09,48.3275,86264000.0,70.57176638747299,43.779724959999996,42.519024995,46.17435151292555,47.0704997,47.96664788707445,57.733,58.055,57.373,57.551,32964000.0,68.70293558718085,9045489596.0,0.9049817158512639,0.5500052552859243,0.3549764605653396,48.3275
2018-06-06,48.4075,48.52,47.98,48.495,83734400.0,71.5194853267982,43.826474960000006,42.564624994999996,46.117319611826055,47.1696247,48.221929788173945,57.6385,57.7355,56.816,57.3475,34934000.0,67.06920449417645,9010555596.0,0.9957827008909632,0.639160744406932,0.35662195648403117,48.495
2018-06-07,48.535,48.55,48.084999,48.365,85388800.0,69.64484663944233,43.86739996,42.609937495,46.08477880318667,47.2458747,48.40697059681333,57.229,57.2935,56.306,56.721,36108000.0,62.16788808668786,8974447596.0,1.005597914800802,0.7124481784857061,0.293149736315096,48.365
2018-06-08,47.7925,48.0,47.4425,47.925,106627200.0,63.571224374844164,43.90617495000001,42.649837495,46.07301201935493,47.26662470000001,48.46023738064509,56.5605,56.939,56.1615,56.6355,27284000.0,61.50727707542413,8947163596.0,0.995007579091407,0.7689600586068462,0.22604752048456078,47.925
